"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"NA.",9.99599577031445e-06,9.98471134265834e-06,0.0335458033298404,9.97660992096955e-06,9.99738600419044e-06,9.9984498480769e-06,NA
"NA..1",9.99935158402708e-06,9.99732351894604e-06,0.0062622300779473,9.9959352331487e-06,9.99959704621599e-06,9.99973429407381e-06,NA
"NA..2",9.97521438117065e-06,9.90388443589727e-06,0.214700719199685,9.85403818231054e-06,9.98416322665591e-06,9.990822198281e-06,NA
"NA..3",9.99532445822314e-06,9.982793865356e-06,0.037246048120815,9.97392114572098e-06,9.99696665848271e-06,9.998190029422e-06,NA
"Opisthonema.oglinum",9.99227033858764e-06,9.96972688809663e-06,0.0669781192825986,9.95509133378097e-06,9.99499064260647e-06,9.99711245169e-06,"Opisthonema oglinum"
"NA..4",9.99836494476679e-06,9.99408677332858e-06,0.012714925330306,9.99085748556863e-06,9.99892654620729e-06,9.99932762023874e-06,NA
"NA..5",9.99860792014145e-06,9.99369207743373e-06,0.0151900678324543,9.99043222996339e-06,9.99919518393192e-06,9.99951994260846e-06,NA
"NA..6",9.99773965625594e-06,9.98990024569991e-06,0.0241711495679617,9.98453919561494e-06,9.99870463135805e-06,9.99924046825819e-06,NA
"Harengula.jaguana",9.97906103166196e-06,9.91808233475373e-06,0.182875448627698,9.8769870899892e-06,9.98660787870066e-06,9.99228668646258e-06,"Harengula jaguana"
"Chaetodipterus.faber",9.9997194925966e-06,9.99912137383808e-06,0.00179955527221416,9.9987329711095e-06,9.99978953071795e-06,9.99983859284229e-06,"Chaetodipterus faber"
"Haemulon.plumierii",9.99724563251109e-06,9.98816128779352e-06,0.027828642446019,9.98179009538116e-06,9.99838414933868e-06,9.99904610746402e-06,"Haemulon plumierii"
"Scomberomorus.sierra",9.99921665386262e-06,9.99712545923642e-06,0.00631455876044782,9.99571895789881e-06,9.99948923187556e-06,9.99966476833962e-06,"Scomberomorus sierra"
"Pterois.volitans",9.99420582526912e-06,9.97780735177418e-06,0.0489537242260767,9.96569756873528e-06,9.99630132078229e-06,9.99780142940073e-06,"Pterois volitans"
"Lutjanus.peru",9.97835060690991e-06,9.91744410369525e-06,0.1838688387282,9.87638026054414e-06,9.9864572098024e-06,9.9921189437789e-06,"Lutjanus peru"
"NA..7",9.99410180330158e-06,9.97691246862398e-06,0.051526028877184,9.96565730318732e-06,9.99628636813053e-06,9.99783701861765e-06,NA
"Cetengraulis.edentulus",9.99913780285475e-06,9.99624506675069e-06,0.00893624757087648,9.99431944225386e-06,9.99948418772699e-06,9.99967541169088e-06,"Cetengraulis edentulus"
"NA..8",9.99684787854556e-06,9.98772859090478e-06,0.0271448472048981,9.98148383684609e-06,9.99795342470956e-06,9.99878754144749e-06,NA
"NA..9",9.99974787822768e-06,9.99916915304257e-06,0.00178710832889932,9.99878479984792e-06,9.99981702150395e-06,9.99985524029005e-06,NA
"NA..10",9.99606450220223e-06,9.98504704247536e-06,0.0326451896884227,9.97739972468207e-06,9.99743163380469e-06,9.99847502539437e-06,NA
"Clepticus.parrae",9.97152831484977e-06,9.89124655756478e-06,0.241206543645057,9.83627055295171e-06,9.98167370730103e-06,9.9893804182548e-06,"Clepticus parrae"
"Pseudupeneus.maculatus",9.98949259528974e-06,9.95893736040866e-06,0.0914130084158912,9.93815495041455e-06,9.99332094206486e-06,9.99612229939733e-06,"Pseudupeneus maculatus"
"NA..11",9.98244276577044e-06,9.93110492594029e-06,0.153943000008124,9.89467527913114e-06,9.98877177282114e-06,9.9934805034955e-06,NA
"Acanthurus.tractus",9.95673050901786e-06,9.83487901083817e-06,0.368930484533888,9.75320303034816e-06,9.97224848927064e-06,9.98395980649353e-06,"Acanthurus tractus"
"Acanthurus.coeruleus",9.96305939168922e-06,9.86075777993892e-06,0.308428252010016,9.79269725974096e-06,9.97626400601249e-06,9.98625479127365e-06,"Acanthurus coeruleus"
"NA..12",9.9996512630921e-06,9.99877173845377e-06,0.00269108062671803,9.99813947848792e-06,9.9997590555269e-06,9.99982011383292e-06,NA
"Aetobatus.narinari",9.9895660368866e-06,9.96192057216314e-06,0.0826366818534492,9.94371610241491e-06,9.99340491645952e-06,9.99611553592503e-06,"Aetobatus narinari"
"NA..13",9.98928385215261e-06,9.95911734004564e-06,0.089778901199984,9.93856181526062e-06,9.99306746694007e-06,9.99596742004473e-06,NA
"NA..14",9.9997393209662e-06,9.99915877714291e-06,0.00179061073885802,9.9987567037314e-06,9.99981169720011e-06,9.99985108517168e-06,NA
"Sparisoma.chrysopterum",9.98559728475488e-06,9.94433744874156e-06,0.124030971106586,9.91616948999917e-06,9.99094864338473e-06,9.99472970283381e-06,"Sparisoma chrysopterum"
