"","spy_code","longitud","latitud","region","country"
"184","SPY173250",-61.50619,16.15962,"Tropical_Northwestern_Atlantic","France"
"185","SPY173251",-61.53646,16.20352,"Tropical_Northwestern_Atlantic","France"
"186","SPY173252",-61.53646,16.20352,"Tropical_Northwestern_Atlantic","France"
"187","SPY173256",-61.87116,16.24518,"Tropical_Northwestern_Atlantic","France"
"188","SPY173257",-61.87493,16.15732,"Tropical_Northwestern_Atlantic","France"
"189","SPY173258",-61.87493,16.15732,"Tropical_Northwestern_Atlantic","France"
"190","SPY173259",-61.82218,16.2617,"Tropical_Northwestern_Atlantic","France"
"191","SPY173260",-61.82218,16.2617,"Tropical_Northwestern_Atlantic","France"
"192","SPY173261",-61.50429,16.48538,"Tropical_Northwestern_Atlantic","France"
"193","SPY173262",-61.50429,16.48538,"Tropical_Northwestern_Atlantic","France"
"194","SPY173264",-61.51445,16.50096,"Tropical_Northwestern_Atlantic","France"
"195","SPY173265",-61.52166,16.47047,"Tropical_Northwestern_Atlantic","France"
"196","SPY173266",-61.52166,16.47047,"Tropical_Northwestern_Atlantic","France"
"197","SPY173267",-61.85716,16.07855,"Tropical_Northwestern_Atlantic","France"
"198","SPY173268",-61.85716,16.07855,"Tropical_Northwestern_Atlantic","France"
"199","SPY173269",-61.8644,16.14098,"Tropical_Northwestern_Atlantic","France"
"200","SPY173270",-61.8644,16.14098,"Tropical_Northwestern_Atlantic","France"
"201","SPY173271",-61.82252,16.26194,"Tropical_Northwestern_Atlantic","France"
"202","SPY173272",-61.82252,16.26194,"Tropical_Northwestern_Atlantic","France"
"203","SPY173273",-61.52821,16.37651,"Tropical_Northwestern_Atlantic","France"
"204","SPY173274",-61.52821,16.37651,"Tropical_Northwestern_Atlantic","France"
"205","SPY173275",-61.57521,16.359,"Tropical_Northwestern_Atlantic","France"
"206","SPY173276",-61.57521,16.359,"Tropical_Northwestern_Atlantic","France"
"207","SPY173278",-61.67195,16.32673,"Tropical_Northwestern_Atlantic","France"
"208","SPY173279",-61.67195,16.32673,"Tropical_Northwestern_Atlantic","France"
"209","SPY173280",-61.213,16.24619,"Tropical_Northwestern_Atlantic","France"
"210","SPY173281",-61.14683,16.20771,"Tropical_Northwestern_Atlantic","France"
"211","SPY173282",-61.11949,16.18316,"Tropical_Northwestern_Atlantic","France"
"212","SPY173283",-61.09994,16.17763,"Tropical_Northwestern_Atlantic","France"
"214","SPY180180",133.01915,-4.11785,"Western_Coral_Triangle","Indonesia"
"215","SPY180181",133.50134,-4.32327,"Western_Coral_Triangle","Indonesia"
"216","SPY180182",133.50134,-4.32327,"Western_Coral_Triangle","Indonesia"
"217","SPY180183",133.49443,-4.32225,"Western_Coral_Triangle","Indonesia"
"218","SPY180184",133.49443,-4.32225,"Western_Coral_Triangle","Indonesia"
"219","SPY180185",134.0777,-3.90981,"Western_Coral_Triangle","Indonesia"
"220","SPY180186",134.0777,-3.90981,"Western_Coral_Triangle","Indonesia"
"213","SPY180501",-61.50619,16.15962,"Tropical_Northwestern_Atlantic","France"
"278","SPY180589",-81.59661,4.01142,"Tropical_East_Pacific","Columbia"
"279","SPY180590",-81.59661,4.01142,"Tropical_East_Pacific","Columbia"
"280","SPY180592",-81.60143,4.00685,"Tropical_East_Pacific","Columbia"
"281","SPY180593",-81.60462,3.98944,"Tropical_East_Pacific","Columbia"
"282","SPY180594",-81.60143,4.00685,"Tropical_East_Pacific","Columbia"
"283","SPY180595",-81.60547,4.00885,"Tropical_East_Pacific","Columbia"
"284","SPY180596",-81.59995,4.00515,"Tropical_East_Pacific","Columbia"
"285","SPY180597",-81.59995,4.00515,"Tropical_East_Pacific","Columbia"
"286","SPY180598",-81.60547,4.00885,"Tropical_East_Pacific","Columbia"
"287","SPY180599",-81.62184,3.99871,"Tropical_East_Pacific","Columbia"
"288","SPY180601",-81.60259,4.00286,"Tropical_East_Pacific","Columbia"
"289","SPY180602",-81.60462,3.98944,"Tropical_East_Pacific","Columbia"
"290","SPY180603",-81.61842,3.99357,"Tropical_East_Pacific","Columbia"
"291","SPY180604",-81.62184,3.99871,"Tropical_East_Pacific","Columbia"
"292","SPY180605",-81.60259,4.00286,"Tropical_East_Pacific","Columbia"
"304","SPY180606",3.79002,40.022518,"Mediterranean_Sea","Spain"
"305","SPY180607",3.830327,39.918649,"Mediterranean_Sea","Spain"
"306","SPY180608",4.285683,39.957735,"Mediterranean_Sea","Spain"
"307","SPY180609",3.474012,39.689585,"Mediterranean_Sea","Spain"
"308","SPY180610",3.405029,39.771142,"Mediterranean_Sea","Spain"
"309","SPY180611",4.070868,40.088462,"Mediterranean_Sea","Spain"
"310","SPY180613",4.096724,40.07145,"Mediterranean_Sea","Spain"
"311","SPY180614",3.323661,39.786777,"Mediterranean_Sea","Spain"
"312","SPY180615",3.323661,39.786777,"Mediterranean_Sea","Spain"
"313","SPY180616",3.830632,39.918309,"Mediterranean_Sea","Spain"
"314","SPY180617",3.790081,40.022395,"Mediterranean_Sea","Spain"
"315","SPY180618",3.471091,39.688479,"Mediterranean_Sea","Spain"
"316","SPY180619",3.468065,39.746475,"Mediterranean_Sea","Spain"
"317","SPY180620",3.405029,39.771142,"Mediterranean_Sea","Spain"
"318","SPY180621",4.096939,40.071488,"Mediterranean_Sea","Spain"
"319","SPY180623",3.468065,39.746475,"Mediterranean_Sea","Spain"
